,date,variable,value
0,2000-01-31,消費支出,309621
1,2000-02-29,消費支出,290663
2,2000-03-31,消費支出,335341
3,2000-04-30,消費支出,335276
4,2000-05-31,消費支出,308566
5,2000-06-30,消費支出,297648
6,2000-07-31,消費支出,326480
7,2000-08-31,消費支出,309993
8,2000-09-30,消費支出,296457
9,2000-10-31,消費支出,309193
10,2000-11-30,消費支出,297144
11,2000-12-31,消費支出,391556
12,2001-01-31,消費支出,308912
13,2001-02-28,消費支出,293698
14,2001-03-31,消費支出,339910
15,2001-04-30,消費支出,318509
16,2001-05-31,消費支出,300346
17,2001-06-30,消費支出,286054
18,2001-07-31,消費支出,314251
19,2001-08-31,消費支出,302474
20,2001-09-30,消費支出,283973
21,2001-10-31,消費支出,305653
22,2001-11-30,消費支出,294929
23,2001-12-31,消費支出,359940
24,2002-01-31,消費支出,305221
25,2002-02-28,消費支出,273487
26,2002-03-31,消費支出,330380
27,2002-04-30,消費支出,320228
28,2002-05-31,消費支出,291968
29,2002-06-30,消費支出,289427
30,2002-07-31,消費支出,315699
31,2002-08-31,消費支出,298788
32,2002-09-30,消費支出,295423
33,2002-10-31,消費支出,304989
34,2002-11-30,消費支出,289126
35,2002-12-31,消費支出,356702
36,2003-01-31,消費支出,298734
37,2003-02-28,消費支出,270619
38,2003-03-31,消費支出,321847
39,2003-04-30,消費支出,315074
40,2003-05-31,消費支出,287172
41,2003-06-30,消費支出,291742
42,2003-07-31,消費支出,302444
43,2003-08-31,消費支出,302283
44,2003-09-30,消費支出,287699
45,2003-10-31,消費支出,299754
46,2003-11-30,消費支出,289498
47,2003-12-31,消費支出,355228
48,2004-01-31,消費支出,301275
49,2004-02-29,消費支出,284916
50,2004-03-31,消費支出,322091
51,2004-04-30,消費支出,325593
52,2004-05-31,消費支出,299964
53,2004-06-30,消費支出,283000
54,2004-07-31,消費支出,302616
55,2004-08-31,消費支出,301059
56,2004-09-30,消費支出,284946
57,2004-10-31,消費支出,296794
58,2004-11-30,消費支出,287806
59,2004-12-31,消費支出,345643
60,2005-01-31,消費支出,302145
61,2005-02-28,消費支出,272407
62,2005-03-31,消費支出,319333
63,2005-04-30,消費支出,317844
64,2005-05-31,消費支出,295783
65,2005-06-30,消費支出,284002
66,2005-07-31,消費支出,294764
67,2005-08-31,消費支出,302201
68,2005-09-30,消費支出,288147
69,2005-10-31,消費支出,300146
70,2005-11-30,消費支出,283603
71,2005-12-31,消費支出,346003
72,2006-01-31,消費支出,294617
73,2006-02-28,消費支出,269418
74,2006-03-31,消費支出,313350
75,2006-04-30,消費支出,312872
76,2006-05-31,消費支出,292114
77,2006-06-30,消費支出,280824
78,2006-07-31,消費支出,292328
79,2006-08-31,消費支出,292087
80,2006-09-30,消費支出,273194
81,2006-10-31,消費支出,294693
82,2006-11-30,消費支出,282860
83,2006-12-31,消費支出,340959
84,2007-01-31,消費支出,296472
85,2007-02-28,消費支出,272763
86,2007-03-31,消費支出,313563
87,2007-04-30,消費支出,316163
88,2007-05-31,消費支出,293231
89,2007-06-30,消費支出,280587
90,2007-07-31,消費支出,291632
91,2007-08-31,消費支出,296035
92,2007-09-30,消費支出,281448
93,2007-10-31,消費支出,296984
94,2007-11-30,消費支出,282836
95,2007-12-31,消費支出,351667
96,2008-01-31,消費支出,309826
97,2008-02-29,消費支出,275827
98,2008-03-31,消費支出,312565
99,2008-04-30,消費支出,310695
100,2008-05-31,消費支出,288128
101,2008-06-30,消費支出,281951
102,2008-07-31,消費支出,298366
103,2008-08-31,消費支出,291154
104,2008-09-30,消費支出,281433
105,2008-10-31,消費支出,291504
106,2008-11-30,消費支出,284762
107,2008-12-31,消費支出,336976
108,2009-01-31,消費支出,291440
109,2009-02-28,消費支出,266044
110,2009-03-31,消費支出,310680
111,2009-04-30,消費支出,306340
112,2009-05-31,消費支出,285530
113,2009-06-30,消費支出,277237
114,2009-07-31,消費支出,285078
115,2009-08-31,消費支出,290972
116,2009-09-30,消費支出,277110
117,2009-10-31,消費支出,287789
118,2009-11-30,消費支出,284740
119,2009-12-31,消費支出,337887
120,2010-01-31,消費支出,291918
121,2010-02-28,消費支出,261163
122,2010-03-31,消費支出,319991
123,2010-04-30,消費支出,299996
124,2010-05-31,消費支出,280714
125,2010-06-30,消費支出,276494
126,2010-07-31,消費支出,285274
127,2010-08-31,消費支出,293361
128,2010-09-30,消費支出,275367
129,2010-10-31,消費支出,287433
130,2010-11-30,消費支出,284212
131,2010-12-31,消費支出,327006
132,2011-01-31,消費支出,289191
133,2011-02-28,消費支出,260793
134,2011-03-31,消費支出,291900
135,2011-04-30,消費支出,292559
136,2011-05-31,消費支出,276159
137,2011-06-30,消費支出,265807
138,2011-07-31,消費支出,280046
139,2011-08-31,消費支出,282008
140,2011-09-30,消費支出,270010
141,2011-10-31,消費支出,285605
142,2011-11-30,消費支出,273428
143,2011-12-31,消費支出,328080
144,2012-01-31,消費支出,283124
145,2012-02-29,消費支出,267855
146,2012-03-31,消費支出,303841
147,2012-04-30,消費支出,301948
148,2012-05-31,消費支出,287911
149,2012-06-30,消費支出,269810
150,2012-07-31,消費支出,283295
151,2012-08-31,消費支出,286036
152,2012-09-30,消費支出,266705
153,2012-10-31,消費支出,284238
154,2012-11-30,消費支出,273772
155,2012-12-31,消費支出,325492
156,2013-01-31,消費支出,288934
157,2013-02-28,消費支出,268099
158,2013-03-31,消費支出,316166
159,2013-04-30,消費支出,304382
160,2013-05-31,消費支出,282366
161,2013-06-30,消費支出,269418
162,2013-07-31,消費支出,286098
163,2013-08-31,消費支出,284646
164,2013-09-30,消費支出,280692
165,2013-10-31,消費支出,290676
166,2013-11-30,消費支出,279546
167,2013-12-31,消費支出,334433
168,2014-01-31,消費支出,297070
169,2014-02-28,消費支出,266610
170,2014-03-31,消費支出,345443
171,2014-04-30,消費支出,302141
172,2014-05-31,消費支出,271411
173,2014-06-30,消費支出,272791
174,2014-07-31,消費支出,280293
175,2014-08-31,消費支出,282124
176,2014-09-30,消費支出,275226
177,2014-10-31,消費支出,288579
178,2014-11-30,消費支出,280271
179,2014-12-31,消費支出,332363
180,2015-01-31,消費支出,289847
181,2015-02-28,消費支出,265632
182,2015-03-31,消費支出,317579
183,2015-04-30,消費支出,300480
184,2015-05-31,消費支出,286433
185,2015-06-30,消費支出,268652
186,2015-07-31,消費支出,280471
187,2015-08-31,消費支出,291156
