,年度,経常収益,経常支出,経常損益,累積欠損金,資本不足金,旅客数,職員数
0,1998,26352000000,28256000000,-1904000000,-5099000000,-4381000000,358279,1597
1,1999,26306000000,28456000000,-2150000000,-4657000000,-3432000000,343689,1487
2,2000,22510000000,27757000000,-5247000000,-8757000000,-6847000000,336375,1399
3,2001,22179000000,26037000000,-3858000000,-11626000000,-9649000000,326146,1254
4,2002,21461000000,26422000000,-4961000000,-16286000000,-14326000000,319981,1155
5,2003,21152000000,20355000000,797000000,-15092000000,-13206000000,320833,1103
6,2004,21880000000,20965000000,915000000,-14229000000,-11919000000,315042,1015
7,2005,21613000000,21254000000,359000000,-13918000000,-14362000000,307756,902
8,2006,21953000000,21097000000,856000000,-13104000000,-13231000000,308907,805
9,2007,22415000000,21519000000,896000000,-12221000000,-11995000000,312739,806
10,2008,22256000000,21648000000,608000000,-11675000000,-11383000000,316408,767
11,2009,21328000000,19489000000,1839000000,-8752000000,-8585000000,310979,762
12,2010,20894000000,18683000000,2211000000,-6541000000,-7030000000,313561,844
13,2011,20606000000,17713000000,2893000000,-3648000000,-4873000000,314133,826
14,2012,19647000000,17046000000,2601000000,-1035000000,-3248000000,321265,838
15,2013,19581000000,16834000000,2747000000,1820000000,-991000000,325555,863
16,2014,20051000000,17645000000,2406000000,1058000000,738000000,340868,882
17,2015,20778000000,18397000000,2381000000,3439000000,2965000000,352936,920
18,2016,21208000000,18521000000,2687000000,6126000000,4172000000,362559,934
19,2017,21519000000,19250000000,2269000000,8512000000,3404000000,367698,958
