,暦年,名目GDP総額（10億円）,名目GDP成長率（％）,GDP実質前年比（％）,名目GNI前年比（％）,GNI実質前年比（％）
0,1955,8338.0,0,0,0,0
1,1956,9386.7,12.6,7.5,12.5,7.4
2,1957,10817.4,15.2,7.8,15.1,7.7
3,1958,11494.8,6.3,6.2,6.2,6.1
4,1959,13140.6,14.3,9.4,14.2,9.3
5,1960,15949.4,21.4,13.1,21.3,13.0
6,1961,19263.6,20.8,11.9,20.7,11.8
7,1962,21860.0,13.5,8.6,13.4,8.6
8,1963,25018.6,14.4,8.8,14.4,8.7
9,1964,29430.0,17.6,11.2,17.5,11.1
10,1965,32742.2,11.3,5.7,11.3,5.7
11,1966,38026.2,16.1,10.2,16.2,10.3
12,1967,44561.9,17.2,11.1,17.2,11.1
13,1968,52775.3,18.4,11.9,18.4,11.9
14,1969,61994.4,17.5,12.0,17.5,12.0
15,1970,73068.5,17.9,10.3,17.9,10.3
16,1971,80397.2,10.0,4.4,10.1,4.5
17,1972,92046.2,14.5,8.4,14.7,8.6
18,1973,112074.2,21.8,8.0,21.8,8.1
19,1974,133737.9,19.3,-1.2,19.1,-1.4
20,1975,147768.2,10.5,3.1,10.6,3.2
21,1976,165945.6,12.3,4.0,12.3,4.0
22,1977,184922.5,11.4,4.4,11.5,4.4
23,1978,203633.9,10.1,5.3,10.2,5.4
24,1979,220711.8,8.4,5.5,8.5,5.6
25,1980,239270.9,8.4,2.8,8.2,2.7
26,1981,257208.4,7.5,2.9,7.3,2.8
27,1982,269971.6,5.0,2.8,5.2,3.1
28,1983,280810.1,4.0,1.6,4.1,1.9
29,1984,298819.8,6.4,3.1,6.5,3.3
30,1985,321260.9,7.5,5.1,7.7,5.6
31,1986,336287.1,4.7,3.0,4.6,4.7
32,1987,350045.4,4.1,3.8,4.3,4.3
33,1988,376577.5,7.6,6.8,7.6,6.9
34,1989,405655.4,7.7,5.3,7.8,5.2
35,1990,437022.9,7.7,5.2,7.7,4.7
36,1991,464934.3,6.4,3.4,6.4,3.6
37,1992,477105.6,2.6,1.0,2.8,1.3
38,1993,480821.0,0.8,0.2,0.8,0.4
39,1994,486551.7,1.2,1.1,1.1,1.1
40,1995,493588.1,1.4,2.0,1.4,2.0
41,1996,504261.9,2.2,2.7,2.5,2.7
42,1997,515249.1,2.2,1.6,2.4,1.4
43,1998,504842.9,-2.0,-2.0,-2.0,-1.7
44,1999,497628.6,-1.4,-0.1,-1.5,-0.3
45,2000,502989.9,1.1,2.9,1.1,2.3
46,2001,497719.7,-1.0,0.2,-0.7,0.6
47,2002,491312.2,-1.3,0.3,-1.3,0.2
48,2003,490294.0,-0.2,1.4,-0.1,1.2
49,2004,498328.4,1.6,2.7,1.8,2.4
50,2005,501734.4,0.7,1.9,1.1,1.5
51,2006,508925.1,1.4,2.4,1.9,1.9
52,2007,515581.1,1.3,2.1,1.8,1.9
