,都道府県,累計感染者数,入院者数,退院者数,死亡者数,日付
0,北海道,162,63,93,6,2020-03-24
1,東京都,160,130,26,5,2020-03-24
2,愛知県,139,114,9,17,2020-03-24
3,大阪府,123,94,27,2,2020-03-24
4,兵庫県,87,77,5,6,2020-03-24
5,神奈川県,73,52,17,4,2020-03-24
6,埼玉県,53,41,11,1,2020-03-24
7,千葉県,46,31,15,0,2020-03-24
8,新潟県,24,21,3,0,2020-03-24
9,京都府,23,16,7,0,2020-03-24
10,大分県,16,15,1,0,2020-03-24
11,和歌山県,15,5,9,1,2020-03-24
12,群馬県,13,12,0,1,2020-03-24
13,岐阜県,11,10,1,0,2020-03-24
14,高知県,11,0,11,0,2020-03-24
15,福岡県,9,7,2,0,2020-03-24
16,栃木県,6,4,2,0,2020-03-24
17,熊本県,6,5,1,0,2020-03-24
18,石川県,6,3,3,0,2020-03-24
19,三重県,6,4,2,0,2020-03-24
20,奈良県,5,2,3,0,2020-03-24
21,滋賀県,5,4,1,0,2020-03-24
22,茨城県,5,5,0,0,2020-03-24
23,山梨県,4,3,1,0,2020-03-24
24,沖縄県,4,2,2,0,2020-03-24
25,長野県,4,2,2,0,2020-03-24
26,静岡県,3,2,1,0,2020-03-24
27,宮崎県,3,2,1,0,2020-03-24
28,広島県,3,2,1,0,2020-03-24
29,山口県,2,2,0,0,2020-03-24
30,愛媛県,2,1,1,0,2020-03-24
31,福島県,2,2,0,0,2020-03-24
32,青森県,2,2,0,0,2020-03-24
33,秋田県,1,0,1,0,2020-03-24
34,宮城県,1,0,1,0,2020-03-24
35,福井県,1,1,0,0,2020-03-24
36,岡山県,1,1,0,0,2020-03-24
37,香川県,1,1,0,0,2020-03-24
38,佐賀県,1,1,0,0,2020-03-24
39,総計,1039,739,260,43,2020-03-24
