,year,p-amount,area,enter,exit,g-enter,g-exit,days
1,1951,92,chugoku,1951-06-14,1951-07-21,1900-06-14,1900-07-21,37.0
2,1952,128,chugoku,1952-05-31,1952-07-21,1900-05-31,1900-07-21,51.0
3,1953,189,chugoku,1953-05-28,1953-07-24,1900-05-28,1900-07-24,57.0
4,1954,151,chugoku,1954-05-30,1954-08-02,1900-05-30,1900-08-02,64.0
5,1955,87,chugoku,1955-06-06,1955-07-10,1900-06-06,1900-07-10,34.0
6,1956,96,chugoku,1956-05-29,1956-07-12,1900-05-29,1900-07-12,44.0
7,1957,143,chugoku,1957-06-16,1957-07-31,1900-06-16,1900-07-31,45.0
8,1958,88,chugoku,1958-06-05,1958-07-11,1900-06-05,1900-07-11,36.0
9,1959,78,chugoku,1959-06-10,1959-07-20,1900-06-10,1900-07-20,40.0
10,1960,76,chugoku,1960-06-10,1960-07-11,1900-06-10,1900-07-11,31.0
11,1961,79,chugoku,1961-06-08,1961-07-13,1900-06-08,1900-07-13,35.0
12,1962,104,chugoku,1962-06-02,1962-07-22,1900-06-02,1900-07-22,50.0
13,1963,119,chugoku,1963-05-08,1963-07-13,1900-05-08,1900-07-13,66.0
14,1964,124,chugoku,1964-06-13,1964-07-20,1900-06-13,1900-07-20,37.0
15,1965,160,chugoku,1965-06-11,1965-07-26,1900-06-11,1900-07-26,45.0
16,1966,88,chugoku,1966-06-15,1966-07-14,1900-06-15,1900-07-14,29.0
17,1967,114,chugoku,1967-06-21,1967-07-16,1900-06-21,1900-07-16,25.0
18,1968,81,chugoku,1968-06-24,1968-07-18,1900-06-24,1900-07-18,24.0
19,1969,134,chugoku,1969-06-16,1969-07-14,1900-06-16,1900-07-14,28.0
20,1970,126,chugoku,1970-06-10,1970-07-19,1900-06-10,1900-07-19,39.0
21,1971,130,chugoku,1971-06-03,1971-07-27,1900-06-03,1900-07-27,54.0
22,1972,169,chugoku,1972-06-03,1972-07-17,1900-06-03,1900-07-17,44.0
23,1973,43,chugoku,1973-06-05,1973-07-04,1900-06-05,1900-07-04,29.0
24,1974,98,chugoku,1974-06-10,1974-07-20,1900-06-10,1900-07-20,40.0
25,1975,82,chugoku,1975-06-05,1975-07-15,1900-06-05,1900-07-15,40.0
26,1976,57,chugoku,1976-06-05,1976-07-17,1900-06-05,1900-07-17,42.0
27,1977,66,chugoku,1977-06-07,1977-07-20,1900-06-07,1900-07-20,43.0
28,1978,60,chugoku,1978-06-11,1978-07-03,1900-06-11,1900-07-03,22.0
29,1979,84,chugoku,1979-06-06,1979-07-25,1900-06-06,1900-07-25,49.0
30,1980,124,chugoku,1980-06-07,1980-07-20,1900-06-07,1900-07-20,43.0
31,1981,130,chugoku,1981-06-11,1981-07-16,1900-06-11,1900-07-16,35.0
32,1982,71,chugoku,1982-06-13,1982-07-30,1900-06-13,1900-07-30,47.0
33,1983,112,chugoku,1983-06-12,1983-07-25,1900-06-12,1900-07-25,43.0
