,year,p-amount,area,enter,exit,variable,date
0,1951,92,chugoku,1951-06-14,1951-07-21,g-enter,1900-06-14
1,1952,128,chugoku,1952-05-31,1952-07-21,g-enter,1900-05-31
2,1953,189,chugoku,1953-05-28,1953-07-24,g-enter,1900-05-28
3,1954,151,chugoku,1954-05-30,1954-08-02,g-enter,1900-05-30
4,1955,87,chugoku,1955-06-06,1955-07-10,g-enter,1900-06-06
5,1956,96,chugoku,1956-05-29,1956-07-12,g-enter,1900-05-29
6,1957,143,chugoku,1957-06-16,1957-07-31,g-enter,1900-06-16
7,1958,88,chugoku,1958-06-05,1958-07-11,g-enter,1900-06-05
8,1959,78,chugoku,1959-06-10,1959-07-20,g-enter,1900-06-10
9,1960,76,chugoku,1960-06-10,1960-07-11,g-enter,1900-06-10
10,1961,79,chugoku,1961-06-08,1961-07-13,g-enter,1900-06-08
11,1962,104,chugoku,1962-06-02,1962-07-22,g-enter,1900-06-02
12,1963,119,chugoku,1963-05-08,1963-07-13,g-enter,1900-05-08
13,1964,124,chugoku,1964-06-13,1964-07-20,g-enter,1900-06-13
14,1965,160,chugoku,1965-06-11,1965-07-26,g-enter,1900-06-11
15,1966,88,chugoku,1966-06-15,1966-07-14,g-enter,1900-06-15
16,1967,114,chugoku,1967-06-21,1967-07-16,g-enter,1900-06-21
17,1968,81,chugoku,1968-06-24,1968-07-18,g-enter,1900-06-24
18,1969,134,chugoku,1969-06-16,1969-07-14,g-enter,1900-06-16
19,1970,126,chugoku,1970-06-10,1970-07-19,g-enter,1900-06-10
20,1971,130,chugoku,1971-06-03,1971-07-27,g-enter,1900-06-03
21,1972,169,chugoku,1972-06-03,1972-07-17,g-enter,1900-06-03
22,1973,43,chugoku,1973-06-05,1973-07-04,g-enter,1900-06-05
23,1974,98,chugoku,1974-06-10,1974-07-20,g-enter,1900-06-10
24,1975,82,chugoku,1975-06-05,1975-07-15,g-enter,1900-06-05
25,1976,57,chugoku,1976-06-05,1976-07-17,g-enter,1900-06-05
26,1977,66,chugoku,1977-06-07,1977-07-20,g-enter,1900-06-07
27,1978,60,chugoku,1978-06-11,1978-07-03,g-enter,1900-06-11
