,line,2017_passenger,variable,value,bus_line
0,１,4061,2010,119.0,1号系統
1,３,13110,2010,87.0,3号系統
2,４,7257,2010,92.0,4号系統
3,５,13000,2010,81.0,5号系統
4,６,2723,2010,113.0,6号系統
5,８,1225,2010,186.0,8号系統
6,９,11602,2010,85.0,9号系統
7,１０,3683,2010,122.0,10号系統
8,１１,4784,2010,118.0,11号系統
9,１２,7242,2010,89.0,12号系統
10,１３,4415,2010,144.0,13号系統
11,１５,2687,2010,109.0,15号系統
12,１６,1142,2010,209.0,16号系統
13,１７,6612,2010,73.0,17号系統
14,１８,3009,2010,209.0,18号系統
15,１９,803,2010,200.0,19号系統
16,２０,1314,2010,208.0,20号系統
17,２２,1358,2010,215.0,22号系統
18,２６,5177,2010,107.0,26号系統
19,２７,2667,2010,144.0,27号系統
20,２８,5422,2010,114.0,28号系統
21,２９,2707,2010,124.0,29号系統
22,３１,1323,2010,113.0,31号系統
23,３２,4210,2010,115.0,32号系統
24,３３,2439,2010,135.0,33号系統
25,３７,5690,2010,110.0,37号系統
26,４２,716,2010,223.0,42号系統
27,４３,859,2010,181.0,43号系統
28,４６,10257,2010,91.0,46号系統
29,５０,6031,2010,90.0,50号系統
30,５１,1246,2010,117.0,51号系統
31,５５,1857,2010,113.0,55号系統
32,５９,6879,2010,100.0,59号系統
33,６５,997,2010,179.0,65号系統
34,６７,311,2010,146.0,67号系統
35,６９,2095,2010,187.0,69号系統
36,７０,1934,2010,122.0,70号系統
37,７１,2881,2010,131.0,71号系統
38,７３,3728,2010,99.0,73号系統
39,７５,1449,2010,149.0,75号系統
40,７８,918,2010,233.0,78号系統
41,８０,2723,2010,132.0,80号系統
42,８１,3803,2010,129.0,81号系統
43,８４,940,2010,246.0,84号系統
44,９１,3933,2010,112.0,91号系統
45,９３,5645,2010,111.0,93号系統
46,１００,8099,2010,66.0,100号系統
47,１０１,4799,2010,81.0,101号系統
48,１０２,1945,2010,91.0,102号系統
49,２０１,13054,2010,81.0,201号系統
50,２０２,13773,2010,86.0,202号系統
51,２０３,18034,2010,76.0,203号系統
52,２０４,11539,2010,90.0,204号系統
53,２０５,34727,2010,83.0,205号系統
54,２０６,28496,2010,67.0,206号系統
55,２０７,14276,2010,71.0,207号系統
56,２０８,3779,2010,112.0,208号系統
57,北１,1979,2010,89.0,北1号系統
58,北３,2235,2010,146.0,北3号系統
59,北８,2771,2010,128.0,北8号系統
60,西１,726,2010,170.0,西1号系統
61,西２,3864,2010,139.0,西2号系統
62,西３,1197,2010,173.0,西3号系統
63,西４,1295,2010,184.0,西4号系統
64,西５,1485,2010,187.0,西5号系統
65,西６,1206,2010,173.0,西6号系統
66,西８,1686,2010,190.0,西8号系統
67,南１,1020,2010,300.0,南1号系統
68,南２,1741,2010,163.0,南2号系統
69,南３,666,2010,170.0,南3号系統
70,南５,2078,2010,130.0,南5号系統
71,南８,548,2010,215.0,南8号系統
72,Ｍ１,1233,2010,112.0,M1号系統
73,循環１,785,2010,114.0,100円循環
74,１,4061,2011,115.0,1号系統
75,３,13110,2011,82.0,3号系統
76,４,7257,2011,89.0,4号系統
77,５,13000,2011,77.0,5号系統
78,６,2723,2011,110.0,6号系統
79,８,1225,2011,174.0,8号系統
80,９,11602,2011,80.0,9号系統
81,１０,3683,2011,114.0,10号系統
82,１１,4784,2011,113.0,11号系統
83,１２,7242,2011,84.0,12号系統
84,１３,4415,2011,135.0,13号系統
85,１５,2687,2011,101.0,15号系統
86,１６,1142,2011,200.0,16号系統
87,１７,6612,2011,70.0,17号系統
88,１８,3009,2011,200.0,18号系統
89,１９,803,2011,186.0,19号系統
90,２０,1314,2011,202.0,20号系統
91,２２,1358,2011,203.0,22号系統
92,２６,5177,2011,104.0,26号系統
93,２７,2667,2011,138.0,27号系統
94,２８,5422,2011,113.0,28号系統
95,２９,2707,2011,118.0,29号系統
96,３１,1323,2011,112.0,31号系統
97,３２,4210,2011,107.0,32号系統
98,３３,2439,2011,136.0,33号系統
99,３７,5690,2011,107.0,37号系統
100,４２,716,2011,209.0,42号系統
101,４３,859,2011,161.0,43号系統
102,４６,10257,2011,86.0,46号系統
103,５０,6031,2011,88.0,50号系統
104,５１,1246,2011,113.0,51号系統
105,５５,1857,2011,111.0,55号系統
106,５９,6879,2011,95.0,59号系統
107,６５,997,2011,189.0,65号系統
108,６７,311,2011,150.0,67号系統
109,６９,2095,2011,177.0,69号系統
110,７０,1934,2011,108.0,70号系統
111,７１,2881,2011,131.0,71号系統
112,７３,3728,2011,92.0,73号系統
113,７５,1449,2011,136.0,75号系統
114,７８,918,2011,216.0,78号系統
115,８０,2723,2011,126.0,80号系統
116,８１,3803,2011,125.0,81号系統
117,８４,940,2011,234.0,84号系統
118,９１,3933,2011,111.0,91号系統
119,９３,5645,2011,107.0,93号系統
120,１００,8099,2011,64.0,100号系統
121,１０１,4799,2011,78.0,101号系統
122,１０２,1945,2011,89.0,102号系統
123,２０１,13054,2011,78.0,201号系統
124,２０２,13773,2011,83.0,202号系統
125,２０３,18034,2011,74.0,203号系統
126,２０４,11539,2011,85.0,204号系統
127,２０５,34727,2011,78.0,205号系統
128,２０６,28496,2011,62.0,206号系統
129,２０７,14276,2011,69.0,207号系統
130,２０８,3779,2011,108.0,208号系統
131,北１,1979,2011,85.0,北1号系統
132,北３,2235,2011,142.0,北3号系統
133,北８,2771,2011,124.0,北8号系統
134,西１,726,2011,167.0,西1号系統
135,西２,3864,2011,133.0,西2号系統
136,西３,1197,2011,165.0,西3号系統
137,西４,1295,2011,169.0,西4号系統
138,西５,1485,2011,184.0,西5号系統
139,西６,1206,2011,162.0,西6号系統
140,西８,1686,2011,187.0,西8号系統
141,南１,1020,2011,257.0,南1号系統
142,南２,1741,2011,147.0,南2号系統
143,南３,666,2011,166.0,南3号系統
144,南５,2078,2011,118.0,南5号系統
145,南８,548,2011,217.0,南8号系統
