日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200306,     148.57,     148.57,     145.99,     146.19,149.03     ,162.37     ,168.08     ,           ,              0,0              ,0              
20200305,     150.69,     151.06,     149.45,      149.8,148.78     ,163.38     ,168.29     ,           ,              0,0              ,0              
20200304,     148.06,     149.86,     147.47,     149.11,149.49     ,164.27     ,168.46     ,           ,              0,0              ,0              
20200303,     152.66,     155.23,     149.66,     149.66,151.36     ,165.23     ,168.62     ,           ,              0,0              ,0              
20200302,     144.16,     151.86,     144.16,     150.41,153.6      ,166.25     ,168.77     ,           ,              0,0              ,0              
20200228,      150.8,      150.8,     144.67,     144.95,156.66     ,167.28     ,168.91     ,           ,              0,0              ,0              
20200227,     158.06,     158.36,     153.25,     153.34,160.86     ,168.57     ,169.12     ,           ,              0,0              ,0              
20200226,     159.46,     159.94,     156.96,     158.48,163.42     ,169.49     ,169.22     ,           ,              0,0              ,0              
20200225,     162.97,     162.98,     159.56,     160.85,164.72     ,170.2      ,169.25     ,           ,              0,0              ,0              
20200221,     165.47,     166.32,     165.44,     165.71,166.02     ,170.8      ,169.23     ,           ,              0,0              ,0              
20200220,     167.19,     167.49,     165.93,     165.93,166.72     ,171.19     ,169.16     ,           ,              0,0              ,0              
20200219,        165,     166.47,        165,     166.15,167.62     ,171.6      ,169.09     ,           ,              0,0              ,0              
20200218,     167.05,     167.09,     164.77,     164.96,168.43     ,172        ,169.01     ,           ,              0,0              ,0              
20200217,     168.08,     168.24,     167.13,     167.38,169.43     ,172.41     ,168.93     ,           ,              0,0              ,0              
20200214,     170.24,     170.26,      169.1,     169.18,170.08     ,172.72     ,168.82     ,           ,              0,0              ,0              
20200213,     170.63,     170.84,     170.28,     170.44,170.54     ,172.87     ,168.67     ,           ,              0,0              ,0              
20200212,     170.48,     170.91,     170.04,      170.2,170.45     ,173.04     ,168.5      ,           ,              0,0              ,0              
20200210,     170.03,     170.34,     169.63,     169.96,170.21     ,173.15     ,168.32     ,           ,              0,0              ,0              
20200207,     171.54,     171.59,     170.31,     170.62,169.88     ,173.32     ,168.15     ,           ,              0,0              ,0              
20200206,     170.89,     171.76,     170.68,     171.52,169.57     ,173.48     ,167.95     ,           ,              0,0              ,0              
20200205,      170.2,     171.16,     169.91,     169.99,168.88     ,173.57     ,167.77     ,           ,              0,0              ,0              
20200204,     168.41,     169.09,     167.82,     168.96,169.17     ,173.68     ,167.58     ,           ,              0,0              ,0              
20200203,     166.84,     168.68,     165.59,     168.32,169.83     ,173.79     ,167.4      ,           ,              0,0              ,0              
20200131,     168.25,     169.56,     168.25,      169.1,170.75     ,173.9      ,167.24     ,           ,              0,0              ,0              
20200130,     170.97,      171.5,      167.9,     168.04,171.97     ,174        ,167.08     ,           ,              0,0              ,0              
20200129,        173,        173,     171.44,     171.44,173.63     ,174.13     ,166.91     ,           ,              0,0              ,0              
20200128,     171.62,     172.39,     171.11,     172.29,174.76     ,174.13     ,166.67     ,           ,              0,0              ,0              
20200127,     173.29,     173.69,     172.24,     172.91,175.56     ,174.14     ,166.42     ,           ,              0,0              ,0              
20200124,     176.22,     176.26,     174.69,      175.2,176.22     ,174.08     ,166.17     ,           ,              0,0              ,0              
20200123,     176.63,      176.8,     176.23,     176.32,176.35     ,173.9      ,165.89     ,           ,              0,0              ,0              
20200122,     176.12,     177.11,     176.12,     177.09,176.19     ,173.65     ,165.59     ,           ,              0,0              ,0              
20200121,     175.99,     176.34,     175.62,     176.31,175.99     ,173.38     ,165.28     ,           ,              0,0              ,0              
20200120,     175.73,     176.35,     175.68,     176.22,175.96     ,173.17     ,164.99     ,           ,              0,0              ,0              
20200117,     175.83,     176.02,      175.2,     175.82,175.75     ,172.93     ,164.7      ,           ,              0,0              ,0              
20200116,     176.06,     176.24,     175.21,     175.53,175.61     ,172.68     ,164.41     ,           ,              0,0              ,0              
20200115,     176.06,     176.11,     175.67,     176.11,175.11     ,172.43     ,164.11     ,           ,              0,0              ,0              
20200114,     175.66,      176.2,     175.41,     176.13,174.84     ,172.17     ,163.79     ,           ,              0,0              ,0              
