日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200207,     849.37,     854.18,     845.03,     849.89,841.21     ,866.05     ,875.7      ,           ,              0,0              ,0              
20200206,     849.34,      853.2,     846.92,     851.01,835.91     ,868.37     ,875.53     ,           ,              0,0              ,0              
20200205,     847.09,     852.95,     842.99,     844.97,828.06     ,870.4      ,875.45     ,           ,              0,0              ,0              
20200204,     824.94,     838.44,     823.59,     836.92,826.62     ,872.29     ,875.39     ,           ,              0,0              ,0              
20200203,     809.55,     826.63,     802.31,     823.28,829.32     ,874        ,875.6      ,           ,              0,0              ,0              
20200131,     815.79,     825.12,        813,     823.37,834.95     ,875.86     ,876.17     ,           ,              0,0              ,0              
20200130,     835.67,     839.46,     805.55,     811.77,844.16     ,877.82     ,876.87     ,           ,              0,0              ,0              
20200129,     853.94,     855.17,      836.7,     837.77,857.73     ,880.02     ,877.63     ,           ,              0,0              ,0              
20200128,     842.35,      850.8,     838.33,     850.42,867.38     ,881.16     ,878.06     ,           ,              0,0              ,0              
20200127,     853.88,     855.34,     847.13,     851.45,874.55     ,882.34     ,878.18     ,           ,              0,0              ,0              
20200124,     878.24,     878.24,     863.49,      869.4,881.31     ,883.21     ,878.5      ,           ,              0,0              ,0              
20200123,     883.68,     884.64,     879.43,     879.63,884.39     ,883.84     ,878.6      ,           ,              0,0              ,0              
20200122,     884.07,     889.12,      883.3,     886.04,885.79     ,884.38     ,878.55     ,           ,              0,0              ,0              
20200121,     886.66,     888.15,     881.51,     886.24,885.98     ,884.86     ,878.49     ,           ,              0,0              ,0              
20200120,     886.81,     888.89,     884.84,     885.26,886.22     ,885.66     ,878.49     ,           ,              0,0              ,0              
20200117,     888.98,     888.98,     879.64,     884.81,887.15     ,886.48     ,878.44     ,           ,              0,0              ,0              
20200116,     887.93,     894.41,      885.4,      886.6,887.34     ,887.53     ,878.37     ,           ,              0,0              ,0              
20200115,     885.91,     888.28,     882.77,        887,884.22     ,888.16     ,878.07     ,           ,              0,0              ,0              
20200114,      895.6,      895.6,     885.21,     887.46,885.47     ,889.19     ,877.56     ,           ,              0,0              ,0              
20200110,     887.27,     890.22,     883.15,     889.89,884.14     ,890.3      ,876.99     ,           ,              0,0              ,0              
20200109,     883.25,     889.49,     882.92,     885.76,885.66     ,891.17     ,876.46     ,           ,              0,0              ,0              
20200108,     888.66,     888.69,     860.34,        871,890.04     ,892.34     ,875.95     ,           ,              0,0              ,0              
20200107,     885.44,     893.69,     885.44,     893.27,896.21     ,894.04     ,875.74     ,           ,              0,0              ,0              
20200106,     885.73,      890.5,      880.8,      880.8,896.02     ,894.79     ,875.37     ,           ,              0,0              ,0              
20191230,     905.11,     905.11,     894.49,     897.47,895.78     ,895.76     ,875.02     ,           ,              0,0              ,0              
20191227,     905.26,     909.23,     901.01,     907.67,890.22     ,895.64     ,874.51     ,           ,              0,0              ,0              
20191226,     892.19,     904.18,     892.19,     901.85,883.15     ,894.89     ,873.81     ,           ,              0,0              ,0              
20191225,     882.67,     895.41,     882.31,     892.32,876.16     ,894.01     ,873.22     ,           ,              0,0              ,0              
20191224,     871.14,     879.95,     868.79,     879.62,870.94     ,893.54     ,872.57     ,           ,              0,0              ,0              
20191223,     874.65,     875.71,     867.63,     869.65,871.02     ,893.41     ,872.19     ,           ,              0,0              ,0              
20191220,      867.9,        873,     867.06,     872.35,871.71     ,893.39     ,871.88     ,           ,              0,0              ,0              
20191219,     865.38,     872.87,     865.37,      866.9,874.29     ,892.64     ,871.46     ,           ,              0,0              ,0              
20191218,     879.26,     879.26,     864.68,      866.2,879.53     ,892.03     ,870.89     ,           ,              0,0              ,0              
20191217,     875.04,     880.02,     867.33,     880.02,885.88     ,891.65     ,870.55     ,           ,              0,0              ,0              
20191216,     881.12,     883.27,     872.97,     873.09,891.12     ,891.06     ,870.19     ,           ,              0,0              ,0              
20191213,      897.8,      897.8,     885.27,     885.27,897.68     ,890.84     ,870.07     ,           ,              0,0              ,0              
20191212,     898.29,     899.26,     889.49,     893.11,902.84     ,889.74     ,870        ,           ,              0,0              ,0              
20191211,     905.61,     908.09,     896.09,     897.94,904.69     ,888.97     ,869.77     ,           ,              0,0              ,0              
20191210,     903.54,     907.31,     903.09,     906.21,907.64     ,887.91     ,869.57     ,           ,              0,0              ,0              
20191209,      913.7,      913.7,     904.52,     905.87,909.46     ,886.7      ,869.24     ,           ,              0,0              ,0              
20191206,     900.49,     911.18,     900.49,     911.09,910.59     ,885.43     ,868.7      ,           ,              0,0              ,0              
20191205,     916.43,      917.8,     901.91,     902.37,911.4      ,883.94     ,867.92     ,           ,              0,0              ,0              
20191204,     908.71,     914.96,     907.58,     912.66,913.63     ,882.65     ,867.27     ,           ,              0,0              ,0              
