日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200306,    1492.34,    1493.57,    1464.55,    1471.46,1504.13    ,1637.57    ,1691.14    ,           ,         174964,168824         ,146734.36      
20200305,    1522.23,    1522.23,    1508.27,    1515.71,1512.01    ,1646.71    ,1694.19    ,           ,         138384,182248.6       ,143867.6       
20200304,    1488.93,    1513.64,    1485.11,     1502.5,1522.48    ,1653.77    ,1696.78    ,           ,         150767,190800         ,143017.24      
20200303,    1547.29,    1551.99,    1505.12,    1505.12,1543.21    ,1661.78    ,1699.47    ,           ,         176490,194190         ,141708.4       
20200302,    1488.96,    1541.67,    1488.89,    1525.87,1565.84    ,1670.79    ,1702.1     ,           ,         203515,194452.4       ,138510.6       
20200228,    1537.61,    1538.54,    1500.87,    1510.87,1595.47    ,1678.97    ,1704.4     ,           ,         242087,176857.2       ,134566.24      
20200227,    1594.22,    1595.23,    1561.25,    1568.06,1628.19    ,1688.31    ,1706.85    ,           ,         181141,151920.4       ,128889.96      
20200226,    1602.49,    1608.86,    1587.35,    1606.17,1648.95    ,1694.98    ,1708.53    ,           ,         167717,138371.6       ,125294.68      
20200225,    1641.63,    1641.66,    1603.12,    1618.26,1660.86    ,1700.5     ,1709.33    ,           ,         177802,127893.2       ,121870.48      
20200221,    1673.01,     1684.5,    1672.95,       1674,1674.76    ,1705.19    ,1709.98    ,           ,         115539,115651         ,119075.8       
20200220,    1686.25,    1692.55,    1672.38,    1674.48,1680.53    ,1707.38    ,1709.87    ,           ,         117403,119578.2       ,118586.28      
20200219,    1674.38,    1678.02,    1667.91,    1671.86,1688.25    ,1709.64    ,1709.72    ,           ,         113397,120805.8       ,118380.28      
20200218,    1678.87,    1680.43,    1661.67,    1665.71,1697.67    ,1712.39    ,1709.4     ,           ,         115325,126041.8       ,118780.64      
20200217,    1688.24,    1690.16,     1676.7,    1687.77,1708.45    ,1715.17    ,1709.17    ,           ,         116591,126206         ,118534.04      
20200214,    1704.04,     1704.7,    1698.36,    1702.87,1717.33    ,1716.82    ,1708.59    ,           ,         135175,128180.4       ,118456.64      
20200213,     1715.6,     1717.1,    1708.98,    1713.08,1724.15    ,1716.76    ,1707.72    ,           ,         123541,134233.8       ,118862.08      
20200212,    1721.26,    1721.92,    1710.68,    1718.92,1721.9     ,1717.24    ,1706.6     ,           ,         139577,136119.6       ,118552.24      
20200210,    1717.67,    1726.08,    1716.37,    1719.64,1714.96    ,1716.38    ,1705.31    ,           ,         116146,133736.8       ,117848         
