日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200306,    1416.27,     1417.4,    1390.45,    1397.69,1425.11    ,1542.22    ,1575.46    ,           ,              0,0              ,0              
20200305,    1439.26,    1441.59,    1430.55,    1437.82,1432.35    ,1549.91    ,1577.78    ,           ,              0,0              ,0              
20200304,    1412.01,    1432.15,    1407.62,    1422.48,1442.38    ,1555.62    ,1579.66    ,           ,              0,0              ,0              
20200303,    1460.58,    1466.54,     1425.1,     1425.1,1462.32    ,1562.36    ,1581.72    ,           ,              0,0              ,0              
20200302,    1412.87,     1456.5,    1412.54,    1442.49,1484.22    ,1569.91    ,1583.74    ,           ,              0,0              ,0              
20200228,    1459.09,    1459.95,    1423.25,    1433.89,1512.25    ,1576.64    ,1585.48    ,           ,              0,0              ,0              
20200227,    1510.76,    1511.55,     1481.4,    1487.98,1541.68    ,1584.18    ,1587.28    ,           ,              0,0              ,0              
20200226,     1519.1,    1525.06,     1506.5,    1522.14,1559.21    ,1589.24    ,1588.38    ,           ,              0,0              ,0              
20200225,    1552.42,    1552.42,    1516.74,    1534.61,1568.48    ,1593.26    ,1588.7     ,           ,              0,0              ,0              
20200221,    1582.46,    1591.95,    1582.03,    1582.64,1579.11    ,1596.48    ,1588.82    ,           ,              0,0              ,0              
20200220,    1589.74,    1596.96,    1578.19,    1581.06,1582.21    ,1597.48    ,1588.28    ,           ,              0,0              ,0              
20200219,    1576.65,    1581.75,    1571.66,    1575.62,1587.61    ,1598.62    ,1587.72    ,           ,              0,0              ,0              
20200218,    1579.29,    1582.82,    1564.99,    1568.51,1595.39    ,1600.33    ,1587.04    ,           ,              0,0              ,0              
20200217,    1585.76,    1589.82,    1577.03,    1587.74,1604.15    ,1601.92    ,1586.46    ,           ,              0,0              ,0              
20200214,    1598.89,    1599.65,    1593.54,    1598.12,1611.23    ,1602.54    ,1585.59    ,           ,              0,0              ,0              
20200213,    1609.83,     1612.4,    1605.43,    1608.06,1616.68    ,1601.7     ,1584.52    ,           ,              0,0              ,0              
20200212,    1613.15,    1615.38,    1605.22,    1614.54,1613.17    ,1601.22    ,1583.23    ,           ,              0,0              ,0              
20200210,    1610.55,    1617.44,    1608.45,    1612.33,1605.12    ,1599.52    ,1581.78    ,           ,              0,0              ,0              
20200207,    1627.57,    1629.84,    1619.19,    1623.13,1595.95    ,1598.76    ,1580.39    ,           ,              0,0              ,0              
20200206,    1611.53,     1632.2,    1611.46,    1625.36,1586.46    ,1597.94    ,1578.95    ,           ,              0,0              ,0              
20200205,    1590.62,    1595.66,    1584.54,     1590.5,1574.86    ,1597.01    ,1577.33    ,           ,              0,0              ,0              
20200204,    1561.76,    1576.26,    1560.53,    1574.29,1574.74    ,1597.18    ,1575.88    ,           ,              0,0              ,0              
20200203,    1555.87,    1570.59,    1552.68,    1566.49,1576.01    ,1598.15    ,1574.46    ,           ,              0,0              ,0              
20200131,     1576.8,    1590.91,    1575.62,    1575.68,1580.91    ,1599.54    ,1573.1     ,           ,              0,0              ,0              
20200130,    1583.93,    1584.57,     1561.2,    1567.37,1588.51    ,1600.66    ,1571.7     ,           ,              0,0              ,0              
20200129,    1584.31,    1590.53,    1580.45,     1589.9,1597.19    ,1602.38    ,1570.25    ,           ,              0,0              ,0              
20200128,    1579.01,    1583.33,    1575.45,    1580.64,1603.72    ,1603.26    ,1568.53    ,           ,              0,0              ,0              
20200127,    1588.49,    1596.61,    1584.84,    1590.99,1610.46    ,1604.8     ,1566.87    ,           ,              0,0              ,0              
