日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200306,    1703.14,    1704.05,    1670.52,    1678.91,1718.05    ,1881.85    ,1971.74    ,           ,              0,0              ,0              
20200305,    1741.65,    1741.65,    1721.42,    1730.15,1727.19    ,1893.41    ,1976.15    ,           ,              0,0              ,0              
20200304,    1698.16,    1731.64,     1693.9,    1717.97,1738.29    ,1902.64    ,1980.06    ,           ,              0,0              ,0              
20200303,    1767.14,    1771.53,    1719.13,    1719.13,1760.74    ,1912.83    ,1983.95    ,           ,              0,0              ,0              
20200302,    1699.86,    1763.29,    1699.86,     1744.1,1785.4     ,1924.53    ,1987.81    ,           ,              0,0              ,0              
20200228,    1751.43,    1752.08,    1711.04,    1724.63,1819.14    ,1935.36    ,1991.24    ,           ,              0,0              ,0              
20200227,    1815.63,    1816.78,    1777.85,    1785.65,1857.72    ,1947.72    ,1994.88    ,           ,              0,0              ,0              
20200226,    1820.15,    1832.88,     1805.7,    1830.21,1884.24    ,1957.18    ,1997.64    ,           ,              0,0              ,0              
20200225,    1875.18,    1875.18,    1831.07,    1842.45,1901.15    ,1965.47    ,1999.33    ,           ,              0,0              ,0              
20200221,    1913.42,    1926.65,    1912.48,    1912.79,1920.91    ,1972.84    ,2000.91    ,           ,              0,0              ,0              
20200220,     1934.2,    1941.03,    1916.15,     1917.5,1931.09    ,1977.14    ,2001.58    ,           ,              0,0              ,0              
20200219,    1923.18,    1924.59,    1912.61,    1918.29,1942.45    ,1981.33    ,2002.19    ,           ,              0,0              ,0              
20200218,    1929.96,    1930.43,    1909.42,    1914.74,1954.73    ,1986.01    ,2002.59    ,           ,              0,0              ,0              
20200217,    1944.67,    1945.75,    1927.89,    1941.23,1969.08    ,1990.88    ,2003.04    ,           ,              0,0              ,0              
20200214,    1963.12,    1967.06,    1958.87,    1963.73,1981.5     ,1994.26    ,2003.02    ,           ,              0,0              ,0              
20200213,    1976.94,    1978.45,     1967.1,     1974.3,1991.35    ,1995.44    ,2002.58    ,           ,              0,0              ,0              
20200212,    1990.07,    1991.48,    1973.29,    1979.67,1991.25    ,1997.53    ,2001.81    ,           ,              0,0              ,0              
20200210,    1983.17,    1995.41,    1983.05,    1986.51,1985.75    ,1997.98    ,2000.85    ,           ,              0,0              ,0              
20200207,     2015.2,     2015.2,    2000.59,    2003.33,1975.29    ,1999.32    ,1999.82    ,           ,              0,0              ,0              
20200206,    1996.01,    2022.44,    1994.21,    2012.94,1964.67    ,2000.7     ,1998.7     ,           ,              0,0              ,0              
20200205,    1972.46,    1979.28,    1967.79,    1973.84,1949.63    ,2001.57    ,1997.28    ,           ,              0,0              ,0              
20200204,    1927.52,    1953.92,     1927.2,    1952.16,1948.44    ,2003.45    ,1995.95    ,           ,              0,0              ,0              
20200203,    1920.07,    1938.98,    1912.45,    1934.21,1950.2     ,2006.7     ,1994.7     ,           ,              0,0              ,0              
20200131,     1949.2,    1965.59,    1945.87,    1950.22,1957.87    ,2010.6     ,1993.72    ,           ,              0,0              ,0              
20200130,    1960.98,    1965.49,    1927.99,    1937.72,1970.18    ,2014.03    ,1992.61    ,           ,              0,0              ,0              
20200129,     1963.4,    1967.91,     1954.6,    1967.91,1985.62    ,2017.86    ,1991.44    ,           ,              0,0              ,0              
20200128,    1952.58,    1964.64,    1948.99,    1960.95,1998.76    ,2020.7     ,1989.84    ,           ,              0,0              ,0              
20200127,    1979.18,    1980.44,    1968.07,    1972.57,2010.99    ,2024.27    ,1988.27    ,           ,              0,0              ,0              
20200124,    2016.11,    2017.44,    2006.88,    2011.78,2023.95    ,2026.92    ,1987.01    ,           ,              0,0              ,0              
20200123,    2018.96,    2022.81,    2012.18,    2014.89,2026.96    ,2028.17    ,1985.33    ,           ,              0,0              ,0              
20200122,    2018.31,    2034.52,    2018.31,    2033.64,2028.02    ,2028.23    ,1983.35    ,           ,              0,0              ,0              
20200121,    2035.61,    2036.61,    2019.75,     2022.1,2025.75    ,2027.68    ,1981.33    ,           ,              0,0              ,0              
20200120,       2033,    2039.59,       2033,    2037.36,2028.39    ,2027.86    ,1979.73    ,           ,              0,0              ,0              
20200117,     2030.6,    2031.65,    2023.45,    2026.83,2028.22    ,2027.6     ,1977.89    ,           ,              0,0              ,0              
20200116,    2025.57,    2026.86,    2016.08,    2020.19,2027.98    ,2027.33    ,1976.19    ,           ,              0,0              ,0              
20200115,    2025.41,       2031,    2016.99,     2022.3,2022.62    ,2027.19    ,1974.47    ,           ,              0,0              ,0              
20200114,    2039.41,    2042.22,    2029.39,    2035.29,2023.42    ,2026.46    ,1972.72    ,           ,              0,0              ,0              
20200110,    2031.45,    2037.61,    2030.06,    2036.53,2014.57    ,2025.42    ,1970.59    ,           ,              0,0              ,0              
20200109,    2017.94,    2028.78,    2017.94,    2025.59,2011.26    ,2024.84    ,1968.57    ,           ,              0,0              ,0              
20200108,    1996.73,     1999.3,    1971.25,    1993.41,2013.72    ,2023.89    ,1966.6     ,           ,              0,0              ,0              
20200107,    2001.66,    2027.34,    2001.66,    2026.31,2021.96    ,2024.72    ,1964.8     ,           ,              0,0              ,0              
20200106,    1993.65,    1995.86,    1981.52,    1991.04,2020.88    ,2024.45    ,1962.36    ,           ,              0,0              ,0              
20191230,    2029.09,    2029.55,    2016.08,    2019.96,2029.36    ,2025.3     ,1960       ,           ,              0,0              ,0              
20191227,    2041.53,    2042.88,    2035.04,    2037.91,2031.69    ,2025.02    ,1957.14    ,           ,              0,0              ,0              
20191226,    2021.02,    2034.61,    2020.12,    2034.61,2031.33    ,2023.35    ,1953.79    ,           ,              0,0              ,0              
20191225,    2032.07,    2032.18,    2019.79,    2020.88,2031.11    ,2021.68    ,1950.46    ,           ,              0,0              ,0              
20191224,    2035.35,    2037.01,    2030.41,    2033.46,2034.69    ,2020.75    ,1946.84    ,           ,              0,0              ,0              
20191223,    2042.58,    2043.03,    2029.69,    2031.59,2038.05    ,2019.52    ,1943.15    ,           ,              0,0              ,0              
20191220,    2038.06,    2041.09,    2027.22,    2036.13,2039.48    ,2018.52    ,1939.39    ,           ,              0,0              ,0              
20191219,    2035.43,    2041.79,    2029.46,     2033.5,2040.88    ,2017.29    ,1935.73    ,           ,              0,0              ,0              
20191218,    2048.92,    2049.61,    2035.46,    2038.77,2037.43    ,2015.5     ,1931.75    ,           ,              0,0              ,0              
20191217,    2048.18,    2050.26,    2038.89,    2050.26,2033.66    ,2014.34    ,1927.67    ,           ,              0,0              ,0              
20191216,    2042.86,    2047.55,    2038.77,    2038.77,2028.93    ,2013.27    ,1923.48    ,           ,              0,0              ,0              
20191213,    2045.88,    2052.48,    2039.88,    2043.14,2027.37    ,2012.12    ,1919.19    ,           ,              0,0              ,0              
20191212,    2027.03,    2027.03,    2011.59,    2016.21,2022.76    ,2010.73    ,1915.26    ,           ,              0,0              ,0              
20191211,    2024.39,    2027.47,    2015.71,    2019.94,2022.81    ,2010.12    ,1911.6     ,           ,              0,0              ,0              
20191210,    2027.26,    2031.82,    2024.48,    2026.61,2019.64    ,2009.24    ,1907.88    ,           ,              0,0              ,0              
20191209,    2037.21,    2037.33,    2019.84,    2030.97,2016.18    ,2007.88    ,1904.24    ,           ,              0,0              ,0              
20191206,    2017.72,    2024.34,    2014.77,    2020.11,2014.39    ,2004.91    ,1900.3     ,           ,              0,0              ,0              
20191205,    2013.75,    2018.46,     2008.9,    2016.46,2010.75    ,2002.57    ,1896.33    ,           ,              0,0              ,0              
20191204,    1996.71,    2004.74,    1988.88,    2004.09,2010.31    ,2000.41    ,1892.35    ,           ,              0,0              ,0              
20191203,    1997.22,    2010.94,    1993.27,     2009.3,2013.41    ,1998.77    ,1888.8     ,           ,              0,0              ,0              
20191202,    2009.34,    2025.56,    2008.92,    2022.03,2013.98    ,1996.34    ,1884.99    ,           ,              0,0              ,0              
20191129,    2018.92,    2021.07,    2000.18,     2001.9,2012.15    ,1993.4     ,1881.26    ,           ,              0,0              ,0              
20191128,    2021.01,    2021.94,    2007.75,    2014.27,2011.03    ,1990.91    ,1877.78    ,           ,              0,0              ,0              
20191127,    2020.84,    2025.77,    2018.98,    2019.55,2006.73    ,1987.58    ,1874.16    ,           ,              0,0              ,0              
20191126,     2025.5,    2030.02,    2012.18,    2012.18,2002.37    ,1983.46    ,1870.47    ,           ,              0,0              ,0              
20191125,    2012.37,    2016.71,     2008.9,    2012.89,2000.48    ,1979.27    ,1866.95    ,           ,              0,0              ,0              
20191122,    1992.37,    2005.85,    1991.38,    1996.28,1999.22    ,1975.14    ,1863.82    ,           ,              0,0              ,0              
20191121,    1992.16,    1995.93,    1964.28,    1992.77,2001.03    ,1972.06    ,1861.46    ,           ,              0,0              ,0              
20191120,    1994.29,    2004.72,    1988.38,    1997.77,2000.24    ,1968.59    ,1859.2     ,           ,              0,0              ,0              
20191119,    2003.92,    2008.08,    1996.33,    2002.72,2002.63    ,1963.65    ,1857.06    ,           ,              0,0              ,0              
