日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200207,     3212.9,    3212.98,    3182.46,    3190.44,3155.63    ,3208.4     ,3194.51    ,           ,              0,0              ,0              
20200206,    3190.47,       3220,     3187.9,    3207.67,3142.58    ,3212.34    ,3192.25    ,           ,              0,0              ,0              
20200205,    3158.63,    3169.11,    3148.92,     3158.2,3122       ,3214.85    ,3189.49    ,           ,              0,0              ,0              
20200204,    3088.13,    3128.95,     3088.1,    3128.79,3122.08    ,3218.33    ,3186.76    ,           ,              0,0              ,0              
20200203,    3074.35,    3105.23,    3061.07,    3093.07,3128.31    ,3223.81    ,3184.32    ,           ,              0,0              ,0              
20200131,    3117.51,    3143.58,    3114.38,     3125.2,3144.09    ,3230.64    ,3182.63    ,           ,              0,0              ,0              
20200130,    3147.78,    3154.99,    3086.52,    3104.75,3165.15    ,3236.85    ,3180.48    ,           ,              0,0              ,0              
20200129,    3165.72,    3166.15,    3143.06,    3158.63,3194.48    ,3243.5     ,3178.09    ,           ,              0,0              ,0              
20200128,    3137.35,    3168.77,    3126.18,    3159.92,3217.59    ,3247.98    ,3174.95    ,           ,              0,0              ,0              
20200127,    3184.16,     3189.8,    3168.31,    3171.97,3237.05    ,3253.27    ,3171.72    ,           ,              0,0              ,0              
20200124,    3255.36,    3255.36,    3229.18,    3230.51,3253.85    ,3257.13    ,3169.11    ,           ,              0,0              ,0              
20200123,    3260.07,     3268.6,    3248.46,    3251.37,3254.59    ,3258.55    ,3165.65    ,           ,              0,0              ,0              
20200122,    3253.19,    3280.15,     3253.1,    3274.22,3249.93    ,3257.9     ,3161.42    ,           ,              0,0              ,0              
20200121,    3259.42,    3264.17,    3246.65,    3257.19,3243.6     ,3256.89    ,3157.22    ,           ,              0,0              ,0              
20200120,    3241.56,    3261.35,    3241.56,    3255.99,3241.78    ,3257.26    ,3153.75    ,           ,              0,0              ,0              
20200117,    3239.33,    3240.77,    3229.94,    3234.18,3243.29    ,3257.4     ,3150.11    ,           ,              0,0              ,0              
20200116,    3243.51,    3243.86,    3225.76,    3228.11,3249.03    ,3257.79    ,3146.78    ,           ,              0,0              ,0              
20200115,    3240.58,    3248.08,    3227.96,    3242.56,3246.31    ,3257.77    ,3143.35    ,           ,              0,0              ,0              
20200114,    3270.93,     3272.5,    3236.73,    3248.07,3251.72    ,3256.68    ,3139.59    ,           ,              0,0              ,0              
20200110,    3270.57,    3273.23,    3259.09,    3263.54,3244.94    ,3254.86    ,3135.25    ,           ,              0,0              ,0              
20200109,    3252.98,    3267.28,    3252.98,    3262.88,3245.16    ,3253.21    ,3130.91    ,           ,              0,0              ,0              
20200108,    3233.41,    3233.41,    3184.09,    3214.54,3250.36    ,3250.84    ,3126.41    ,           ,              0,0              ,0              
20200107,    3230.52,    3276.21,    3230.52,    3269.61,3261.54    ,3250.44    ,3122.29    ,           ,              0,0              ,0              
20200106,    3218.48,    3222.48,    3201.43,    3214.15,3256.66    ,3248.49    ,3117.31    ,           ,              0,0              ,0              
20191230,    3278.46,    3278.46,    3254.08,    3264.66,3266.97    ,3247.97    ,3112.5     ,           ,              0,0              ,0              
20191227,    3277.87,    3293.18,    3274.43,    3288.87,3266.79    ,3245.42    ,3106.93    ,           ,              0,0              ,0              
20191226,    3245.08,    3270.44,    3245.08,    3270.44,3265.15    ,3241.07    ,3100.66    ,           ,              0,0              ,0              
20191225,    3265.31,    3265.31,    3242.62,     3245.2,3265.25    ,3237.31    ,3094.76    ,           ,              0,0              ,0              
20191224,    3267.28,    3273.07,    3260.68,    3265.69,3270.34    ,3234.56    ,3088.41    ,           ,              0,0              ,0              
20191223,    3288.35,     3288.5,    3263.27,    3263.76,3275.62    ,3231.79    ,3082.07    ,           ,              0,0              ,0              
20191220,    3275.76,    3287.46,    3264.66,    3280.67,3276.57    ,3229.06    ,3075.53    ,           ,              0,0              ,0              
20191219,    3267.35,    3277.12,     3262.5,    3270.95,3273.65    ,3225.37    ,3069.11    ,           ,              0,0              ,0              
20191218,    3290.12,     3290.6,     3256.8,    3270.65,3266.47    ,3220.44    ,3061.99    ,           ,              0,0              ,0              
20191217,    3284.86,     3292.1,    3267.35,     3292.1,3262.14    ,3216.82    ,3054.94    ,           ,              0,0              ,0              
20191216,    3270.51,    3280.55,     3267.4,    3268.49,3256.98    ,3213.25    ,3047.76    ,           ,              0,0              ,0              
20191213,    3282.34,    3286.58,    3262.83,    3266.08,3255.18    ,3210.02    ,3040.55    ,           ,              0,0              ,0              
20191212,    3259.87,    3259.97,    3230.31,    3235.03,3250.79    ,3206.28    ,3034.13    ,           ,              0,0              ,0              
20191211,    3263.24,    3266.04,    3244.17,       3249,3249.28    ,3203.7     ,3028.01    ,           ,              0,0              ,0              
20191210,    3259.48,    3273.16,    3258.99,     3266.3,3242.55    ,3200.36    ,3021.82    ,           ,              0,0              ,0              
20191209,    3268.53,     3269.5,    3249.03,    3259.51,3229.81    ,3196.23    ,3015.77    ,           ,              0,0              ,0              
20191206,    3228.27,    3244.11,    3227.15,    3244.11,3222.36    ,3190.39    ,3009.34    ,           ,              0,0              ,0              
20191205,    3225.66,     3231.7,    3216.19,    3227.48,3214.24    ,3185.52    ,3002.9     ,           ,              0,0              ,0              
20191204,    3182.54,    3215.37,    3176.82,    3215.37,3209.67    ,3181.46    ,2996.63    ,           ,              0,0              ,0              
20191203,    3186.33,    3204.99,    3175.79,    3202.58,3210.78    ,3176.73    ,2990.98    ,           ,              0,0              ,0              
20191202,    3212.04,    3230.45,    3212.04,     3222.3,3210.46    ,3171.51    ,2985.02    ,           ,              0,0              ,0              
20191129,    3208.46,    3213.26,       3197,    3203.49,3206.21    ,3165.41    ,2979.28    ,           ,              0,0              ,0              
20191128,       3220,       3220,    3194.94,    3204.65,3201.52    ,3159.35    ,2973.71    ,           ,              0,0              ,0              
20191127,    3210.57,     3224.9,    3209.09,    3220.89,3195.9     ,3153.07    ,2968.06    ,           ,              0,0              ,0              
20191126,    3218.35,    3221.37,    3198.31,       3201,3187.02    ,3145.17    ,2962.18    ,           ,              0,0              ,0              
20191125,    3203.56,    3209.63,    3196.44,    3201.06,3186.1     ,3137.49    ,2956.75    ,           ,              0,0              ,0              
20191122,    3177.44,    3196.78,     3176.6,    3180.02,3184.97    ,3129.71    ,2952.08    ,           ,              0,0              ,0              
20191121,    3168.68,    3177.19,     3127.3,    3176.54,3186.66    ,3123.34    ,2948.75    ,           ,              0,0              ,0              
20191120,    3182.04,    3192.03,    3164.12,     3176.5,3180.89    ,3116.3     ,2945.52    ,           ,              0,0              ,0              
20191119,    3192.18,    3198.48,     3182.9,    3196.41,3181.64    ,3107.39    ,2942.58    ,           ,              0,0              ,0              
20191118,    3193.15,    3196.37,    3185.17,    3195.38,3182.9     ,3097.36    ,2939.07    ,           ,              0,0              ,0              
20191115,    3152.44,    3192.49,    3151.24,     3188.5,3181.39    ,3088.2     ,2935.58    ,           ,              0,0              ,0              
20191114,    3179.39,    3183.28,    3142.39,    3147.66,3178.18    ,3079.21    ,2932.38    ,           ,              0,0              ,0              
20191113,    3198.93,    3199.71,    3177.78,    3180.26,3182.78    ,3070.33    ,2929.47    ,           ,              0,0              ,0              
20191112,    3188.41,    3204.41,    3184.26,    3202.73,3179.83    ,3060.03    ,2926.05    ,           ,              0,0              ,0              
20191111,    3184.35,    3203.16,     3182.6,     3187.8,3171.86    ,3048.63    ,2921.97    ,           ,              0,0              ,0              
20191108,    3195.27,    3198.24,    3165.82,    3172.49,3157.04    ,3040.17    ,2918.23    ,           ,              0,0              ,0              
20191107,     3164.8,    3172.76,    3158.05,    3170.66,3147.01    ,3032.13    ,2913.87    ,           ,              0,0              ,0              
20191106,    3169.42,    3169.42,    3156.09,    3165.48,3138.07    ,3022.67    ,2910.57    ,           ,              0,0              ,0              
20191105,    3141.11,    3167.97,    3138.17,     3162.9,3124.37    ,3014.4     ,2907.52    ,           ,              0,0              ,0              
20191101,    3101.15,    3113.67,    3097.54,    3113.67,3106.23    ,3007.78    ,2904.6     ,           ,              0,0              ,0              
20191031,    3130.21,    3130.69,    3106.45,    3122.38,3097.46    ,3002.54    ,2902.53    ,           ,              0,0              ,0              
20191030,    3094.82,    3125.95,    3087.97,    3125.95,3083.38    ,2997.03    ,2899.98    ,           ,              0,0              ,0              
20191029,    3092.51,    3112.06,     3090.8,    3096.95,3067.69    ,2990.81    ,2897.43    ,           ,              0,0              ,0              
20191028,    3078.31,     3079.2,    3068.28,     3072.2,3053       ,2985.35    ,2895.55    ,           ,              0,0              ,0              
20191025,    3060.67,    3070.17,    3052.31,    3069.82,3040.36    ,2979.38    ,2894.4     ,           ,              0,0              ,0              
20191024,     3060.5,    3061.64,    3047.77,    3051.99,3027.69    ,2974.1     ,2893.21    ,           ,              0,0              ,0              
20191023,    3034.79,    3047.52,    3006.91,    3047.52,3021.47    ,2969.05    ,2891.91    ,           ,              0,0              ,0              
20191021,    3016.01,    3028.49,    3016.01,    3023.51,3012.08    ,2963.37    ,2890.74    ,           ,              0,0              ,0              
20191018,     3016.4,    3036.81,    3003.78,    3008.97,2998.1     ,2958.26    ,2889.63    ,           ,              0,0              ,0              
20191017,    3015.83,     3016.9,    3006.21,    3006.46,2985.46    ,2952.04    ,2887.72    ,           ,              0,0              ,0              
20191016,    3028.54,    3050.87,    3012.78,    3020.91,2977.44    ,2945.65    ,2885.91    ,           ,              0,0              ,0              
20191015,    2992.72,    3014.32,    2992.72,    3000.59,2966.03    ,2937.57    ,2883.35    ,           ,              0,0              ,0              
20191011,    2955.53,    2955.53,    2936.23,    2953.58,2951.02    ,2930.66    ,2881.46    ,           ,              0,0              ,0              
20191010,    2964.89,    2965.58,    2926.75,    2945.77,2944.85    ,2923.29    ,2880.34    ,           ,              0,0              ,0              
20191009,    2937.52,    2966.37,    2937.31,    2966.37,2939.27    ,2917.07    ,2879.27    ,           ,              0,0              ,0              
20191008,    2940.83,    2963.86,    2940.83,    2963.86,2941.23    ,2909.32    ,2878.2     ,           ,              0,0              ,0              
20191007,    2929.13,    2929.46,    2912.86,    2925.54,2942.77    ,2902.76    ,2877.02    ,           ,              0,0              ,0              
20191004,    2911.19,    2922.75,    2895.64,    2922.75,2944.49    ,2895.21    ,2875.6     ,           ,              0,0              ,0              
20191003,    2925.43,    2926.29,    2903.02,    2917.83,2951.69    ,2887.97    ,2874.77    ,           ,              0,0              ,0              
20191002,    2951.99,    2980.86,     2951.6,    2976.21,2967.58    ,2881.4     ,2874.29    ,           ,              0,0              ,0              
20191001,     2945.3,    2976.65,     2945.3,    2971.56,2968.88    ,2871.47    ,2872.86    ,           ,              0,0              ,0              
20190930,    2937.41,    2949.18,    2924.48,    2934.13,2971.51    ,2863.99    ,2871.96    ,           ,              0,0              ,0              
20190927,    2981.81,    2981.81,    2935.53,    2958.74,2978.78    ,2857.67    ,2871.65    ,           ,              0,0              ,0              
20190926,     3007.5,    3024.24,    2988.62,    2997.28,2979.11    ,2850.71    ,2870.83    ,           ,              0,0              ,0              
20190925,    2974.86,    2985.19,    2967.22,    2982.73,2964.22    ,2843.32    ,2869       ,           ,              0,0              ,0              
20190924,    2971.32,    3001.98,    2970.97,    2984.69,2955.28    ,2835.1     ,2867.05    ,           ,              0,0              ,0              
20190920,    2971.29,    2977.71,    2960.73,    2970.49,2943.46    ,2826.15    ,2865.29    ,           ,              0,0              ,0              
20190919,     2934.5,    2969.61,     2934.5,    2960.39,2930.45    ,2817.63    ,2862.86    ,           ,              0,0              ,0              
20190918,       2942,       2942,    2913.05,    2922.84,2917.54    ,2810.87    ,2860.31    ,           ,              0,0              ,0              
20190917,    2921.76,    2945.05,    2911.44,    2938.01,2903.65    ,2804.18    ,2858.87    ,           ,              0,0              ,0              
20190913,    2913.46,    2926.65,    2897.53,    2925.59,2885.43    ,2798.34    ,2857.61    ,           ,              0,0              ,0              
20190912,    2910.78,    2920.12,    2899.06,    2905.45,2864.08    ,2792.74    ,2856.67    ,           ,              0,0              ,0              
20190911,    2858.18,    2895.85,    2855.03,    2895.85,2848.55    ,2787.76    ,2856.29    ,           ,              0,0              ,0              
20190910,    2850.88,    2861.95,    2846.51,    2853.39,2823.27    ,2783.11    ,2855.97    ,           ,              0,0              ,0              
20190909,    2823.05,     2846.9,    2820.31,     2846.9,2810.64    ,2780.74    ,2856.08    ,           ,              0,0              ,0              
20190906,    2837.74,    2840.63,     2818.7,    2818.85,2795.77    ,2780.89    ,2856.16    ,           ,              0,0              ,0              
20190905,    2792.72,    2836.09,    2791.94,    2827.79,2791.96    ,2785.35    ,2856.78    ,           ,              0,0              ,0              
20190904,    2774.77,    2779.23,    2763.84,    2769.43,2773.76    ,2789.61    ,2857.33    ,           ,              0,0              ,0              
20190903,    2766.74,     2796.3,    2765.92,    2790.24,2768.25    ,2797.07    ,2858.81    ,           ,              0,0              ,0              
20190902,    2786.74,    2789.25,    2772.58,    2772.58,2760.92    ,2802.79    ,2860.21    ,           ,              0,0              ,0              
