日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20200306,    6162.21,    6171.61,    6064.48,     6088.5,6213.66    ,6802.59    ,7064.2     ,           ,              0,0              ,0              
20200305,    6293.11,     6293.6,    6216.72,    6246.22,6206.68    ,6846.63    ,7076.22    ,           ,              0,0              ,0              
20200304,    6173.89,    6295.86,     6163.5,    6247.03,6234.41    ,6885.49    ,7086.19    ,           ,              0,0              ,0              
20200303,    6363.42,    6430.88,    6226.39,    6226.39,6295.77    ,6926.81    ,7094.93    ,           ,              0,0              ,0              
20200302,    6006.48,    6325.78,    6006.48,    6260.19,6376.28    ,6973.06    ,7103.1     ,           ,              0,0              ,0              
20200228,    6264.78,    6278.07,    6037.63,    6053.61,6494.78    ,7018.07    ,7110.68    ,           ,              0,0              ,0              
20200227,    6548.47,    6551.57,    6373.45,    6384.83,6661.69    ,7070.33    ,7120.67    ,           ,              0,0              ,0              
20200226,    6580.09,    6583.22,    6484.62,    6553.83,6771.1     ,7109.69    ,7126.75    ,           ,              0,0              ,0              
20200225,    6728.74,    6728.74,    6564.99,    6628.94,6845.48    ,7144.08    ,7130.21    ,           ,              0,0              ,0              
20200221,    6879.06,    6900.83,    6843.83,    6852.71,6929.33    ,7178.28    ,7133.13    ,           ,              0,0              ,0              
20200220,    6961.92,    6964.07,    6888.14,    6888.14,6992.08    ,7203       ,7133.13    ,           ,              0,0              ,0              
20200219,    6921.17,    6953.89,    6913.81,    6931.89,7047.64    ,7226.48    ,7132.94    ,           ,              0,0              ,0              
20200218,    7021.26,    7021.26,    6893.27,    6925.76,7108.31    ,7246.68    ,7131.74    ,           ,              0,0              ,0              
20200217,    7087.67,    7101.56,    6982.25,    7048.15,7174.95    ,7264.59    ,7130.45    ,           ,              0,0              ,0              
20200214,    7131.82,    7199.67,    7087.83,    7166.49,7216.94    ,7275.87    ,7127.71    ,           ,              0,0              ,0              
20200213,     7200.6,    7217.13,    7160.82,    7165.95,7236.02    ,7278.73    ,7123.1     ,           ,              0,0              ,0              
20200212,    7273.76,    7281.55,     7204.9,    7235.22,7228.42    ,7285.68    ,7118.09    ,           ,              0,0              ,0              
20200210,    7232.21,    7264.36,    7205.36,    7258.96,7196.9     ,7286.4     ,7111.81    ,           ,              0,0              ,0              
20200207,    7250.82,    7263.75,    7216.61,    7258.08,7153.44    ,7286.65    ,7105.24    ,           ,              0,0              ,0              
20200206,     7201.1,    7318.85,    7187.65,    7261.93,7117.51    ,7286.57    ,7098.39    ,           ,              0,0              ,0              
