,温度1,温度2,降水量1,風速1,気温,降水量,風速平均,風速最大
2020-07-30 00:00:00,21.7,21.8,0.0,0.0,24.0,0.0,2.6,5.0
2020-07-30 00:10:00,21.6,21.5,0.0,0.0,24.0,0.0,2.3,5.3
2020-07-30 00:20:00,21.5,21.5,0.0,0.0,23.8,0.0,1.8,4.1
2020-07-30 00:30:00,21.5,21.5,0.0,0.0,23.7,0.5,1.6,2.7
2020-07-30 00:40:00,21.5,21.6,0.0,0.0,23.6,0.0,2.0,3.3
2020-07-30 00:50:00,21.5,21.5,0.0,0.0,23.6,0.0,2.4,4.3
2020-07-30 01:00:00,21.5,21.5,0.0,0.0,23.6,0.0,1.9,3.0
2020-07-30 01:10:00,21.5,21.5,0.0,0.0,23.6,0.0,1.9,3.0
2020-07-30 01:20:00,21.5,21.5,0.0,0.0,23.7,0.0,1.8,2.9
2020-07-30 01:30:00,21.4,21.6,0.0,0.0,23.6,0.0,1.8,2.7
2020-07-30 01:40:00,21.5,21.5,0.0,0.0,23.7,0.0,2.2,3.3
2020-07-30 01:50:00,21.5,21.4,0.0,0.0,23.7,0.0,2.1,3.3
2020-07-30 02:00:00,21.5,21.6,0.0,0.0,23.7,0.0,1.8,2.6
2020-07-30 02:10:00,21.6,21.7,0.0,0.0,23.8,0.0,1.6,2.7
2020-07-30 02:20:00,21.4,21.4,0.0,0.0,23.8,0.0,1.6,3.4
2020-07-30 02:30:00,21.5,21.6,0.0,0.0,23.7,0.0,1.4,3.5
2020-07-30 02:40:00,21.5,21.6,0.0,0.0,23.8,0.0,2.3,4.2
2020-07-30 02:50:00,21.3,21.2,0.0,0.0,23.7,0.0,2.4,3.9
2020-07-30 03:00:00,21.4,21.4,0.0,0.0,23.6,0.5,2.4,4.1
2020-07-30 04:10:00,21.2,21.3,0.0,0.0,23.2,0.0,1.3,2.0
2020-07-30 04:20:00,21.3,21.4,0.0,0.0,23.2,0.5,1.8,2.6
2020-07-30 04:30:00,21.3,21.3,0.0,0.0,23.2,0.0,1.8,2.4
2020-07-30 04:40:00,21.3,21.3,0.0,0.0,23.2,0.0,1.4,1.9
2020-07-30 04:50:00,21.3,21.3,0.0,0.0,23.3,0.5,1.0,1.5
2020-07-30 05:00:00,21.3,21.3,0.0,0.0,23.2,0.0,0.6,1.7
2020-07-30 05:10:00,21.4,21.5,0.0,0.0,23.2,0.0,1.0,1.8
2020-07-30 05:20:00,21.4,21.4,0.0,0.0,23.2,0.5,0.9,1.4
2020-07-30 05:30:00,21.4,21.5,0.0,0.0,23.2,0.0,0.6,1.3
2020-07-30 05:40:00,21.4,21.5,0.0,0.0,23.3,0.0,0.5,0.9
2020-07-30 05:50:00,21.4,21.5,0.0,0.0,23.5,0.0,0.0,0.5
2020-07-30 06:00:00,21.6,21.7,0.0,0.0,23.4,0.0,0.7,1.3
2020-07-30 06:10:00,21.6,21.8,0.0,0.0,23.4,0.0,1.1,1.7
2020-07-30 06:20:00,21.5,21.6,0.0,0.0,23.5,0.0,1.0,1.5
2020-07-30 06:30:00,21.6,21.6,0.0,0.0,23.6,0.0,1.2,1.6
2020-07-30 06:40:00,21.8,22.1,0.0,0.0,23.7,0.0,1.0,1.5
2020-07-30 06:50:00,22.3,22.6,0.0,0.0,23.6,0.0,0.5,1.3
2020-07-30 07:00:00,22.2,22.2,0.0,0.0,23.6,0.0,1.0,1.7
2020-07-30 07:10:00,22.1,22.2,0.0,0.0,23.6,0.0,1.6,2.9
2020-07-30 07:20:00,22.4,22.9,0.0,0.0,23.6,0.0,1.5,2.8
2020-07-30 07:30:00,22.4,22.6,0.0,0.0,23.7,0.0,1.1,1.8
2020-07-30 07:40:00,22.4,22.6,0.0,0.0,23.6,0.0,1.8,2.5
2020-07-30 07:50:00,22.5,22.9,0.0,0.0,23.8,0.0,1.9,3.2
2020-07-30 08:00:00,22.5,22.7,0.0,0.0,23.8,0.0,2.2,3.1
2020-07-30 08:10:00,22.4,22.5,0.0,0.0,23.8,0.0,1.5,2.4
2020-07-30 08:20:00,22.4,22.6,0.0,0.0,23.6,1.0,1.7,2.8
2020-07-30 08:30:00,22.3,22.5,0.0,0.0,23.7,0.0,2.3,3.7
2020-07-30 08:40:00,22.5,22.8,0.0,0.0,23.4,0.0,3.2,4.9
2020-07-30 08:50:00,22.2,22.6,0.0,0.0,23.3,0.0,2.9,4.7
2020-07-30 09:00:00,22.3,22.5,0.2,0.0,23.4,0.0,2.6,4.3
2020-07-30 09:10:00,22.5,22.8,0.2,0.0,23.2,0.0,2.7,4.4
2020-07-30 09:20:00,22.7,23.0,0.6,0.0,23.4,0.0,2.9,4.3
